"participant","correct_width","width_deviation"
"p301",0.25,-0.05
"p301",0.25,-0.1
"p301",0.4,-0.1
"p301",0.4,0
"p301",0.25,5.55111512312578e-17
"p301",0.25,5.55111512312578e-17
"p301",0.4,-0.05
"p301",0.55,-0.2
"p301",0.25,0.05
"p301",0.25,0
"p301",0.4,-0.15
"p301",0.55,0.05
"p301",0.25,-0.05
"p301",0.4,-5.55111512312578e-17
"p301",0.4,-0.05
"p301",0.55,-0.2
"p301",0.25,0.1
"p301",0.55,-0.15
"p301",0.25,0
"p301",0.4,-0.05
"p301",0.25,0
"p301",0.55,-0.2
"p301",0.4,-0.05
"p301",0.55,-0.15
"p301",0.55,-0.2
"p301",0.4,-0.1
"p301",0.4,-0.05
"p301",0.55,-0.05
"p301",0.55,-0.05
"p301",0.55,-0.2
"p302",0.55,-0.15
"p302",0.55,-0.15
"p302",0.25,-0.05
"p302",0.4,-0.1
"p302",0.55,-0.15
"p302",0.4,-5.55111512312578e-17
"p302",0.25,-0.05
"p302",0.4,-0.15
"p302",0.4,-0.1
"p302",0.55,-0.15
"p302",0.25,-0.0499999999999999
"p302",0.4,-0.15
"p302",0.25,-0.0999999999999999
"p302",0.25,-0.15
"p302",0.4,-0.15
"p302",0.25,-0.15
"p302",0.55,-0.15
"p302",0.4,-0.15
"p302",0.55,-0.2
"p302",0.25,-0.15
"p302",0.55,-0.15
"p302",0.25,-0.15
"p302",0.55,-0.15
"p302",0.4,-0.15
"p302",0.55,-0.1
"p302",0.4,0.0499999999999999
"p302",0.25,0
"p302",0.25,-0.1
"p302",0.4,-0.15
"p302",0.55,-0.15
"p303",0.25,-0.1
"p303",0.4,-0.15
"p303",0.25,-0.1
"p303",0.4,-0.15
"p303",0.4,-0.2
"p303",0.55,-0.15
"p303",0.55,-0.2
"p303",0.55,-0.1
"p303",0.25,0
"p303",0.25,-0.15
"p303",0.25,-0.0499999999999999
"p303",0.55,-1.11022302462516e-16
"p303",0.55,-1.11022302462516e-16
"p303",0.4,-0.05
"p303",0.25,0
"p303",0.4,-0.25
"p303",0.55,-0.3
"p303",0.25,0.15
"p303",0.55,-0.15
"p303",0.25,0.05
"p303",0.4,-0.1
"p303",0.25,0.05
"p303",0.4,0.0499999999999999
"p303",0.4,-0.1
"p303",0.55,-1.11022302462516e-16
"p303",0.4,-0.15
"p303",0.4,0.0499999999999999
"p303",0.25,-0.05
"p303",0.55,-1.11022302462516e-16
"p303",0.55,-0.0500000000000001
"p304",0.55,-0.15
"p304",0.25,-0.1
"p304",0.25,-0.05
"p304",0.25,-0.1
"p304",0.4,-0.05
"p304",0.4,-0.15
"p304",0.4,-0.1
"p304",0.55,-0.15
"p304",0.55,-0.15
"p304",0.55,-0.2
"p304",0.4,-0.05
"p304",0.25,5.55111512312578e-17
"p304",0.55,-0.2
"p304",0.4,-0.1
