"subID","correct_num","response_num","correct_width","response_width","number_deviation","width_deviation","width_deviation_relative"
"p301",4,3,0.55,0.45,-1,-0.1,-0.181818181818182
"p301",3,3,0.25,0.25,0,5.55111512312578e-17,2.22044604925031e-16
"p301",5,5,0.55,0.4,0,-0.15,-0.272727272727273
"p301",4,3,0.25,0.25,-1,0,0
"p301",3,2,0.25,0.35,-1,0.1,0.4
"p301",4,4,0.25,0.3,0,0.05,0.2
"p301",4,3,0.4,0.4,-1,-5.55111512312578e-17,-1.38777878078145e-16
"p301",5,4,0.25,0.3,-1,0.05,0.2
"p301",4,4,0.55,0.3,0,-0.25,-0.454545454545455
"p301",5,4,0.25,0.2,-1,-0.05,-0.2
"p301",5,4,0.4,0.3,-1,-0.1,-0.25
"p301",4,4,0.4,0.3,0,-0.1,-0.25
"p301",3,3,0.55,0.5,0,-0.05,-0.090909090909091
"p301",4,3,0.25,0.3,-1,0.05,0.2
"p301",4,4,0.55,0.35,0,-0.2,-0.363636363636364
"p301",3,2,0.25,0.3,-1,0.05,0.2
"p301",3,2,0.25,0.15,-1,-0.0999999999999999,-0.4
"p301",3,2,0.4,0.35,-1,-0.05,-0.125
"p301",3,3,0.55,0.45,0,-0.1,-0.181818181818182
"p301",5,5,0.4,0.35,0,-0.05,-0.125
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",4,3,0.55,0.5,-1,-0.0500000000000001,-0.0909090909090911
"p301",4,4,0.25,0.2,0,-0.05,-0.2
"p301",4,5,0.25,0.2,1,-0.05,-0.2
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",5,5,0.4,0.4,0,0,0
"p301",5,5,0.25,0.25,0,5.55111512312578e-17,2.22044604925031e-16
"p301",5,5,0.25,0.25,0,5.55111512312578e-17,2.22044604925031e-16
"p301",3,2,0.4,0.4,-1,0,0
"p301",3,2,0.25,0.3,-1,0.05,0.2
"p301",4,3,0.4,0.35,-1,-0.05,-0.125
"p301",5,4,0.55,0.45,-1,-0.1,-0.181818181818182
"p301",4,3,0.25,0.25,-1,5.55111512312578e-17,2.22044604925031e-16
"p301",3,3,0.4,0.3,0,-0.1,-0.25
"p301",3,3,0.25,0.3,0,0.05,0.2
"p301",5,4,0.4,0.35,-1,-0.05,-0.125
"p301",5,5,0.25,0.35,0,0.1,0.4
"p301",3,2,0.55,0.45,-1,-0.1,-0.181818181818182
"p301",4,3,0.25,0.25,-1,5.55111512312578e-17,2.22044604925031e-16
"p301",5,4,0.55,0.5,-1,-0.0500000000000001,-0.0909090909090911
"p301",5,4,0.55,0.55,-1,-1.11022302462516e-16,-2.01858731750028e-16
"p301",5,5,0.25,0.1,0,-0.15,-0.6
"p301",4,4,0.55,0.45,0,-0.1,-0.181818181818182
"p301",4,4,0.4,0.3,0,-0.1,-0.25
"p301",3,3,0.4,0.3,0,-0.1,-0.25
"p301",3,2,0.25,0.2,-1,-0.05,-0.2
"p301",5,5,0.4,0.2,0,-0.2,-0.5
"p301",5,5,0.55,0.35,0,-0.2,-0.363636363636364
"p301",4,4,0.4,0.35,0,-0.05,-0.125
"p301",5,5,0.25,0.3,0,0.05,0.2
"p301",3,2,0.4,0.35,-1,-0.05,-0.125
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",5,5,0.4,0.3,0,-0.1,-0.25
"p301",5,4,0.55,0.35,-1,-0.2,-0.363636363636364
"p301",3,2,0.4,0.3,-1,-0.1,-0.25
"p301",3,3,0.55,0.35,0,-0.2,-0.363636363636364
"p301",5,5,0.25,0.15,0,-0.1,-0.4
"p301",4,3,0.4,0.3,-1,-0.1,-0.25
"p301",5,5,0.55,0.3,0,-0.25,-0.454545454545455
"p301",4,4,0.4,0.35,0,-0.05,-0.125
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",4,4,0.55,0.4,0,-0.15,-0.272727272727273
"p301",4,3,0.25,0.2,-1,-0.05,-0.2
"p301",3,3,0.4,0.25,0,-0.15,-0.375
"p301",4,3,0.4,0.35,-1,-0.05,-0.125
"p301",4,4,0.25,0.2,0,-0.0499999999999999,-0.2
"p301",4,3,0.4,0.25,-1,-0.15,-0.375
"p301",3,3,0.25,0.2,0,-0.0499999999999999,-0.2
"p301",3,2,0.25,0.2,-1,-0.0499999999999999,-0.2
"p301",3,3,0.4,0.25,0,-0.15,-0.375
"p301",4,4,0.55,0.3,0,-0.25,-0.454545454545455
"p301",5,5,0.25,0.2,0,-0.05,-0.2
"p301",3,2,0.25,0.2,-1,-0.0499999999999999,-0.2
"p301",4,4,0.55,0.3,0,-0.25,-0.454545454545455
"p301",5,5,0.25,0.15,0,-0.1,-0.4
"p301",3,2,0.25,0.15,-1,-0.1,-0.4
"p301",5,5,0.55,0.4,0,-0.15,-0.272727272727273
"p301",5,4,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",4,4,0.25,0.15,0,-0.1,-0.4
"p301",5,5,0.4,0.25,0,-0.15,-0.375
"p301",4,4,0.55,0.45,0,-0.1,-0.181818181818182
"p301",3,2,0.4,0.4,-1,0,0
"p301",4,3,0.25,0.2,-1,-0.0499999999999999,-0.2
"p301",5,4,0.4,0.4,-1,0,0
"p301",3,2,0.55,0.45,-1,-0.1,-0.181818181818182
"p301",5,5,0.25,0.25,0,0,0
"p301",5,5,0.55,0.35,0,-0.2,-0.363636363636364
"p301",3,2,0.25,0.2,-1,-0.0499999999999999,-0.2
"p301",5,4,0.4,0.35,-1,-0.05,-0.125
"p301",4,3,0.25,0.2,-1,-0.05,-0.2
"p301",5,5,0.4,0.35,0,-0.05,-0.125
"p301",5,5,0.25,0.2,0,-0.0499999999999999,-0.2
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",5,5,0.25,0.2,0,-0.05,-0.2
"p301",4,3,0.25,0.2,-1,-0.0499999999999999,-0.2
"p301",4,3,0.4,0.3,-1,-0.1,-0.25
"p301",5,5,0.25,0.15,0,-0.0999999999999999,-0.4
"p301",3,2,0.4,0.25,-1,-0.15,-0.375
"p301",3,2,0.25,0.2,-1,-0.05,-0.2
"p301",4,2,0.55,0.4,-2,-0.15,-0.272727272727273
"p301",3,2,0.55,0.45,-1,-0.1,-0.181818181818182
"p301",4,3,0.25,0.3,-1,0.05,0.2
"p301",3,2,0.25,0.25,-1,5.55111512312578e-17,2.22044604925031e-16
"p301",5,5,0.4,0.3,0,-0.1,-0.25
"p301",3,2,0.55,0.4,-1,-0.15,-0.272727272727273
"p301",5,4,0.4,0.35,-1,-0.05,-0.125
"p301",3,3,0.4,0.35,0,-0.05,-0.125
"p301",3,3,0.25,0.25,0,5.55111512312578e-17,2.22044604925031e-16
"p301",5,5,0.4,0.3,0,-0.1,-0.25
"p301",3,2,0.25,0.25,-1,5.55111512312578e-17,2.22044604925031e-16
