"subID","cond","n_w","width_bias","width_sd","width_se","rmse_width"
"p301","Non-RM",242,-0.249370773854245,0.172591747494053,0.0110946177299892,0.303271650761682
"p301","RM",254,-0.171716177523264,0.155392350465212,0.00975018323734602,0.231588488933074
"p302","Non-RM",144,-0.1546875,0.236539499278007,0.0197116249398339,0.282629010143935
"p302","RM",238,-0.132878151260504,0.236353550095555,0.0153205251246712,0.271144986538902
"p303","Non-RM",45,-0.283787878787879,0.263798219053233,0.0393247166764273,0.38745975342296
"p303","RM",276,-0.23048418972332,0.216535234449597,0.0130338894611709,0.316244319270019
"p304","Non-RM",177,-0.244183359013868,0.128993498806244,0.00969574510159011,0.276160887081375
"p304","RM",333,-0.230630630630631,0.123462936044031,0.00676572721846159,0.261598135241241
"p305","Non-RM",255,0.0637076648841354,0.286295090882622,0.0179284940329128,0.293297708188247
"p305","RM",242,0.115289256198347,0.282933932265275,0.0181876820120501,0.305521231049266
"p306","Non-RM",263,-0.223098859315589,0.246838407568148,0.0152207082584515,0.332719552293964
"p306","RM",234,-0.133527583527584,0.222814626499993,0.0145658478004789,0.259761377700857
"p307","Non-RM",394,-0.159010152284264,0.144920601427361,0.0073009944246661,0.215142299995917
"p307","RM",16,-0.0805397727272728,0.125028836205573,0.0312572090513934,0.148724123375735
"p308","Non-RM",364,-0.0249125874125875,0.220331695186543,0.0115485187556644,0.221735637450017
"p308","RM",137,0.0208029197080292,0.27946309416045,0.0238761434545201,0.280236297552817
"p309","Non-RM",372,-0.0890090420332356,0.214348036671921,0.0111134279944544,0.232094141220285
"p309","RM",119,-0.0662528647822766,0.210122071844664,0.0192618587452457,0.22031960232388
"p310","Non-RM",249,0.0246987951807229,0.228108006250412,0.0144557575299675,0.229441262633636
"p310","RM",237,0.133927886459532,0.226595764736113,0.0147189766138279,0.263215347895713
"p311","Non-RM",256,-0.0695490056818182,0.198402884079991,0.0124001802549994,0.210239788343187
"p311","RM",79,-0.0621116225546606,0.198255303814137,0.0223054643615699,0.207757115754933
"p312","Non-RM",269,0.0100963163230821,0.519608794875161,0.0316811073667526,0.519706874415678
"p312","RM",87,-0.00888192267502619,0.402644867968192,0.0431680610036808,0.402742818994365
"p313","Non-RM",496,-0.0423982771260997,0.16403742703603,0.00736549790662532,0.169428130403019
"p313","RM",8,0.025,0.21380899352994,0.0755928946018454,0.215265616655995
"p314","Non-RM",306,-0.15770944741533,0.271103741283185,0.0154979693523023,0.313639137133408
"p314","RM",172,-0.094899577167019,0.277073715640983,0.0211266727559962,0.292875013692836
"p315","Non-RM",343,-0.112483434932415,0.217486533506269,0.0117431690033286,0.244852844359154
"p315","RM",89,-0.0447395301327886,0.225041891162904,0.0238543927545301,0.22944602488315
"p316","Non-RM",300,0.0483636363636364,0.227400028197039,0.0131289467493289,0.232486159042486
"p316","RM",190,0.109150717703349,0.217147398829375,0.0157535280623878,0.243036770867126
"p317","Non-RM",380,-0.108444976076555,0.190748374125164,0.00978518512739291,0.219420270411915
"p317","RM",122,-0.0940201192250373,0.191968768630576,0.0173800356848328,0.213756382240695
"p318","Non-RM",334,-0.122611594991835,0.238357387168375,0.0130423359487174,0.268044487434785
"p318","RM",144,-0.0691287878787879,0.27283036036448,0.0227358633637067,0.281451940569261
"p319","Non-RM",353,-0.0609387071851662,0.251768015127783,0.0134002593355083,0.259037949873726
"p319","RM",88,0.0597365702479339,0.284458372351374,0.0303233643793319,0.290663075442649
"p320","Non-RM",194,0.0197282099343955,0.2688211493627,0.0193002337393948,0.269544082873096
"p320","RM",297,0.043373125191307,0.274858676388112,0.0159489180349094,0.278259806610092
"p321","Non-RM",407,0.0133515747152111,0.186980379924745,0.00926827333468287,0.187456467010818
"p321","RM",98,0.12639146567718,0.247033958543059,0.0249541981813076,0.277489782279419
"p301","1-bar",30,-0.138484848484848,0.189656599474756,0.0346263992373487,0.234835429576117
"p302","1-bar",30,-0.305075757575758,0.169438122435517,0.0309350272530849,0.348970622251925
"p303","1-bar",30,-0.171742424242424,0.273505084249777,0.0499349680786513,0.322955866017545
"p304","1-bar",30,-0.23469696969697,0.135694456983078,0.0247743050060154,0.2711008174847
"p305","1-bar",30,-0.0583333333333333,0.253559255403466,0.0462933746162306,0.260182769949391
"p306","1-bar",30,-0.198409090909091,0.180889231514993,0.0330257041701788,0.268490374936341
"p307","1-bar",30,-0.0772727272727273,0.160940878499484,0.0293836498596219,0.178530223638327
"p308","1-bar",30,-0.0950757575757576,0.242131872907405,0.0442070295607867,0.260129282389069
"p309","1-bar",30,-0.265227272727273,0.196557859580861,0.0358863911824568,0.330121944683107
"p310","1-bar",30,-0.0966666666666667,0.230647926176933,0.0421103573362974,0.250085805863036
"p311","1-bar",30,-0.143106060606061,0.212773790004617,0.0388470014771319,0.256421587030254
"p312","1-bar",30,-0.174318181818182,0.244053786369334,0.0445579213463436,0.29991511991496
"p313","1-bar",30,-0.153484848484849,0.204964507466035,0.0374212280756944,0.256062586168325
"p314","1-bar",30,-0.0308333333333333,0.38130408521959,0.0696162829145473,0.382548689514934
"p315","1-bar",30,-0.258787878787879,0.196744968657714,0.0359205524698257,0.325084218164547
"p316","1-bar",30,0.158333333333333,0.326112173653887,0.0595396645957585,0.362517026151472
"p317","1-bar",30,-0.15969696969697,0.151083685558029,0.0275839808837166,0.219839491839369
"p318","1-bar",30,-0.295075757575758,0.209827382383768,0.0383090635046173,0.362073518925275
"p319","1-bar",30,0.0545454545454545,0.296787444341632,0.0541857260167403,0.301758170942242
"p320","1-bar",30,0.0278787878787879,0.489486187203189,0.0893675421061276,0.490279465485049
"p321","1-bar",30,-0.0992424242424242,0.176876751439984,0.0322931288873046,0.20281628132247
