Model,k,alpha,a1,gamma,SSE,LL,AIC,BIC,RMSE,Participant,n
Null,0,NA,NA,NA,5.295000000000002,422.08009855302873,-842.1601971060575,-837.9536211793326,0.10332184292687803,p301,496
Perfect Pooling,0,NA,NA,NA,18.827829861111116,107.47396777835615,-212.9479355567123,-208.7413596299874,0.19483155390593548,p301,496
Partial Pooling,1,NA,NA,-0.5940428838785595,3.887091315018288,498.73735364392144,-993.4747072878429,-985.061555434393,0.08852614106153361,p301,496
Compression + Pooling,1,0.6351051859498712,NA,NA,2.526337757824515,605.5981769359879,-1207.1963538719758,-1198.783202018526,0.0713682205105308,p301,496
Compression + Partial Pooling,2,0.7594275231899263,NA,0.20261500170872537,1.5683318714573178,723.8342044007439,-1441.6684088014879,-1429.048681021313,0.056231302832681386,p301,496
Linear Compression + Partial Pooling,3,0.7959646791232948,-0.08096009005801134,0.20845910537974133,1.5612412857188378,724.9579795507267,-1441.9159591014534,-1425.0896553945536,0.05610404515271298,p301,496
Null,0,NA,NA,NA,3.5700000000000007,350.4807877634853,-698.9615755269706,-695.016154918364,0.09667238353438844,p302,382
Perfect Pooling,0,NA,NA,NA,14.72618055555556,79.8220786833391,-157.6441573666782,-153.69873675807162,0.19634207617935004,p302,382
Partial Pooling,1,NA,NA,-0.2484945453035534,3.26341008255994,367.6312334844715,-731.262466968943,-723.3716257517299,0.09242812521797002,p302,382
Compression + Pooling,1,0.6823588335083609,NA,NA,3.884249323451006,334.36723606449334,-664.7344721289867,-656.8436309117735,0.10083745309262239,p302,382
Compression + Partial Pooling,2,0.8685591783941827,NA,0.13923891760147156,2.8817162557222464,391.38908315220283,-776.7781663044057,-764.9419044785859,0.08685482042888368,p302,382
Linear Compression + Partial Pooling,3,0.6913618401075019,0.39811887570121823,0.10483938762999054,2.754988454523093,399.978885454339,-791.957770908678,-776.1760884742516,0.08492356363845795,p302,382
Null,0,NA,NA,NA,6.127500000000002,179.88474385823656,-357.7694877164731,-353.99804659334313,0.13816216937616815,p303,321
Perfect Pooling,0,NA,NA,NA,23.60350694444445,-36.56691459972154,75.13382919944308,78.9052703225731,0.2711663221747096,p303,321
Partial Pooling,1,NA,NA,-0.8421067022737821,3.2873333940859033,279.8297179265194,-555.6594358530388,-548.1165536067788,0.10119740115372336,p303,321
