"rm_type","correct_width","correct_num","emmean","SE","df","asymp.LCL","asymp.UCL"
"Non-RM","0.25","3",-0.0189442613840571,0.00814978135728611,Inf,-0.0349175393262138,-0.0029709834419004
"RM","0.25","3",-0.00922395333342513,0.00968996339220821,Inf,-0.0282159325936648,0.00976802592681452
"Non-RM","0.4","3",-0.028761871800886,0.00831259870327885,Inf,-0.0450542658772469,-0.0124694777245251
"RM","0.4","3",0.0019311592185904,0.0100571675047469,Inf,-0.0177805268772,0.0216428453143808
"Non-RM","0.55","3",-0.0773680646286374,0.00823126072431109,Inf,-0.0935010391956462,-0.0612350900616286
"RM","0.55","3",-0.0343373226496083,0.00978678952725188,Inf,-0.0535190776472958,-0.0151555676519209
"Non-RM","0.25","4",-0.0115201562860306,0.00819801462725541,Inf,-0.0275879697001838,0.00454765712812252
"RM","0.25","4",-0.00314773149869869,0.00955402014551712,Inf,-0.0218732668914824,0.015577803894085
"Non-RM","0.4","4",-0.0343480392618783,0.00844660871513341,Inf,-0.0509030881350419,-0.0177929903887147
"RM","0.4","4",-0.00165008287004355,0.00975390066577473,Inf,-0.0207673768837433,0.0174672111436562
"Non-RM","0.55","4",-0.0855964510280482,0.00855836648220564,Inf,-0.102370541099666,-0.0688223609564304
"RM","0.55","4",-0.0264254926284103,0.00959597111874183,Inf,-0.0452332504178308,-0.00761773483898975
"Non-RM","0.25","5",-0.0125959688438526,0.00829469814975286,Inf,-0.0288532784799992,0.00366134079229405
"RM","0.25","5",-0.00442305938619674,0.00945681899690646,Inf,-0.0229580840284476,0.0141119652560541
"Non-RM","0.4","5",-0.027082288123735,0.0085380660557337,Inf,-0.043816590090597,-0.010347986156873
"RM","0.4","5",-0.020567652064041,0.0097710276588928,Inf,-0.0397185143674156,-0.0014167897606664
"Non-RM","0.55","5",-0.0956715536261758,0.00856512145417995,Inf,-0.11245888319958,-0.0788842240527718
"RM","0.55","5",-0.071391522310969,0.00964238975943997,Inf,-0.0902902589643692,-0.0524927856575688
