"subID","correct_num","response_num","correct_width","response_width","correct_space","stim_length","response_stim_length","number_deviation","width_deviation","width_deviation_relative","spacing_deviation","spacing_deviation_relative","width_density_deviation"
"701",3,3,0.4,0.15,2.2,4.8,2.35,0,-0.25,-0.625,-1.1,-0.5,-0.0585106382978723
"701",5,4,0.25,0.2,0.7,3.05,2.9,-1,-0.05,-0.2,0.2,0.285714285714286,-0.133973996608253
"701",4,4,0.25,0.15,1.1,3.55,2.55,0,-0.0999999999999999,-0.4,-0.3,-0.272727272727273,-0.0463960231980114
"701",4,4,0.55,0.55,0.7,2.65,2.95,0,0,0,0.1,0.142857142857143,-0.0844259673808764
"701",3,3,0.4,0.25,1.8,4,2.85,0,-0.15,-0.375,-0.5,-0.277777777777778,-0.036842105263158
"701",4,4,0.4,0.2,1.1,3.7,5.3,0,-0.2,-0.5,0.6,0.545454545454545,-0.281489036206017
"701",5,4,0.55,0.45,0.9,4.15,2.85,-1,-0.1,-0.181818181818182,-0.1,-0.111111111111111,-0.0310716550412176
"701",3,3,0.55,0.35,1.8,4.15,2.75,0,-0.2,-0.363636363636364,-0.6,-0.333333333333333,-0.0157721796276013
"701",3,4,0.25,0.15,2.2,4.65,3.45,1,-0.0999999999999999,-0.4,-1.1,-0.5,0.0126227208976158
"701",4,3,0.55,0.5,0.9,3.25,2.6,-1,-0.0500000000000001,-0.0909090909090911,0.15,0.166666666666667,-0.1
"701",4,4,0.4,0.3,0.466666666666667,1.8,1.8,0,-0.1,-0.25,0.0333333333333333,0.0714285714285714,-0.222222222222222
"701",5,5,0.55,0.35,0.675,3.25,2.75,0,-0.2,-0.363636363636364,-0.0750000000000001,-0.111111111111111,-0.20979020979021
"701",3,3,0.25,0.2,1.1,2.45,2.2,0,-0.05,-0.2,-0.1,-0.090909090909091,-0.033395176252319
"701",3,3,0.4,0.45,0.7,1.8,2.45,0,0.05,0.125,0.3,0.428571428571429,-0.115646258503401
"701",4,4,0.55,0.35,0.6,2.35,1.55,0,-0.2,-0.363636363636364,-0.2,-0.333333333333333,-0.0329444063143448
"701",5,5,0.25,0.2,1.1,4.65,3.4,0,-0.05,-0.2,-0.3,-0.272727272727273,0.0253004427577482
"701",4,4,0.25,0.15,0.6,2.05,2.85,0,-0.0999999999999999,-0.4,0.3,0.5,-0.277278562259307
"701",3,3,0.25,0.2,0.7,1.65,1.5,0,-0.05,-0.2,-0.0499999999999999,-0.0714285714285713,-0.0545454545454545
"701",4,4,0.25,0.2,0.466666666666667,1.65,2.3,0,-0.05,-0.2,0.233333333333333,0.5,-0.258234519104084
"701",5,5,0.25,0.2,0.8625,3.7,3.2,0,-0.05,-0.2,-0.1125,-0.130434782608696,-0.0253378378378378
"701",5,5,0.4,0.35,0.9,4,3.95,0,-0.05,-0.125,0,0,-0.0569620253164557
"701",5,5,0.55,0.4,0.7,3.35,2.6,0,-0.15,-0.272727272727273,-0.15,-0.214285714285714,-0.0516647531572906
"701",3,3,0.55,0.7,2.2,4.95,3.5,0,0.15,0.272727272727273,-0.8,-0.363636363636364,0.266666666666667
"701",5,5,0.25,0.15,0.9,3.85,3.75,0,-0.1,-0.4,0,0,-0.124675324675325
"701",3,3,0.25,0.1,1.8,3.85,2.8,0,-0.15,-0.6,-0.45,-0.25,-0.0876623376623376
"701",5,4,0.4,0.4,0.7,3.2,2.5,-1,-5.55111512312578e-17,-1.38777878078145e-16,0,0,0.015
"701",3,3,0.55,0.55,1.1,2.75,2.75,0,0,0,0,0,0
"701",5,4,0.25,0.15,0.525,2.35,1.95,-1,-0.1,-0.4,0.075,0.142857142857143,-0.224222585924714
"701",4,3,0.4,0.5,0.7,2.5,2,-1,0.1,0.25,0.05,0.0714285714285715,0.11
"701",5,5,0.25,0.1,0.825,3.55,2.5,0,-0.15,-0.6,-0.225,-0.272727272727273,-0.152112676056338
"701",5,4,0.4,0.5,0.525,2.5,2.6,-1,0.1,0.25,0.175,0.333333333333333,-0.0307692307692307
"701",4,4,0.55,0.65,0.733333333333333,2.75,3.35,0,0.1,0.181818181818182,0.166666666666667,0.227272727272727,-0.0238805970149254
"701",5,5,0.25,0.3,0.675,2.95,3.1,0,0.05,0.2,0.0249999999999999,0.0370370370370369,0.0601421541826135
"701",5,5,0.4,0.35,0.675,3.1,3.15,0,-0.05,-0.125,0.0249999999999999,0.0370370370370369,-0.089605734767025
"701",4,4,0.25,0.1,0.9,2.95,2.2,0,-0.15,-0.6,-0.2,-0.222222222222222,-0.157164869029276
"701",4,4,0.25,0.15,0.733333333333333,2.45,1.65,0,-0.1,-0.4,-0.233333333333333,-0.318181818181818,-0.0445269016697587
"701",5,4,0.55,0.5,1.1,4.95,3.2,-1,-0.0500000000000001,-0.0909090909090911,-0.2,-0.181818181818182,0.0694444444444443
"701",4,4,0.4,0.3,0.9,3.1,2.4,0,-0.1,-0.25,-0.2,-0.222222222222222,-0.0161290322580644
"701",5,4,0.55,0.55,0.825,3.85,3.25,-1,0,0,0.075,0.0909090909090908,-0.0373626373626373
"701",3,3,0.4,0.6,1.1,2.6,2.5,0,0.2,0.5,-0.15,-0.136363636363636,0.258461538461538
"701",3,3,0.25,0.2,0.9,2.05,1.9,0,-0.0499999999999999,-0.2,-0.05,-0.0555555555555556,-0.0500641848523748
"701",4,3,0.4,0.65,0.6,2.2,2.75,-1,0.25,0.625,0.45,0.75,-0.0181818181818182
"701",4,4,0.25,0.2,0.783333333333333,2.6,2.9,0,-0.05,-0.2,0.116666666666667,0.148936170212766,-0.108753315649867
"701",3,3,0.55,0.7,1.4,3.35,2.8,0,0.15,0.272727272727273,-0.35,-0.25,0.257462686567164
"701",4,3,0.25,0.25,0.7,2.35,2.05,-1,0,0,0.2,0.285714285714286,-0.0596782563570317
"701",4,4,0.55,0.7,1.1,3.85,4,0,0.15,0.272727272727273,0,0,0.128571428571429
"701",3,3,0.25,0.1,1.475,3.2,2.7,0,-0.15,-0.6,-0.175,-0.11864406779661,-0.123263888888889
"701",5,4,0.4,0.4,1.1,4.8,4.3,-1,-5.55111512312578e-17,-1.38777878078145e-16,0.2,0.181818181818182,-0.0445736434108528
"701",3,3,0.25,0.2,1.4,3.05,2.2,0,-0.0499999999999999,-0.2,-0.4,-0.285714285714286,0.0268256333830105
"701",3,3,0.55,0.55,0.9,2.35,2.05,0,-1.11022302462516e-16,-2.01858731750028e-16,-0.15,-0.166666666666667,0.10275038920602
"701",3,3,0.55,0.65,0.7,1.95,2.35,0,0.1,0.181818181818182,0.15,0.214285714285714,-0.016366612111293
