"rm_type","correct_num","correct_width","emmean","SE","df","asymp.LCL","asymp.UCL"
"Non-RM","3","0.25",-0.00136708346684901,0.0103507254846772,Inf,-0.0216541326306772,0.0189199656969792
"RM","3","0.25",0.00727288623710868,0.015098994663563,Inf,-0.0223205995062372,0.0368663719804546
"Non-RM","4","0.25",-0.0216831150722276,0.00990160761198313,Inf,-0.0410899093807622,-0.00227632076369305
"RM","4","0.25",-0.0432852393334039,0.0137197231696297,Inf,-0.0701754026237378,-0.0163950760430699
"Non-RM","5","0.25",-0.0119807008010391,0.0110066124394966,Inf,-0.0335532647742429,0.00959186317216471
"RM","5","0.25",-0.0210787944610295,0.0117529203594862,Inf,-0.04411409507879,0.00195650615673097
"Non-RM","3","0.4",0.00188057838848799,0.0103635436053924,Inf,-0.0184315938302915,0.0221927506072675
"RM","3","0.4",0.0300196468106539,0.0162022592751591,Inf,-0.00173619783683789,0.0617754914581458
"Non-RM","4","0.4",-0.0416535541075268,0.0106636502996234,Inf,-0.0625539246385185,-0.0207531835765352
"RM","4","0.4",-0.0270417554515157,0.0162629686625432,Inf,-0.0589165883118039,0.00483307740877241
"Non-RM","5","0.4",-0.0317792994994956,0.0118558602898204,Inf,-0.0550163586732823,-0.00854224032570894
"RM","5","0.4",-0.0405946382980587,0.0127664334540441,Inf,-0.0656163880790124,-0.015572888517105
"Non-RM","3","0.55",-0.0402850131237036,0.0103970275611752,Inf,-0.0606628126898774,-0.0199072135575298
"RM","3","0.55",0.00737834987472936,0.0149554640057814,Inf,-0.0219338209486873,0.0366905206981461
"Non-RM","4","0.55",-0.0743110909777357,0.0105360914451714,Inf,-0.0949614507480923,-0.0536607312073791
"RM","4","0.55",-0.0621081955516981,0.0139889988013464,Inf,-0.0895261293821111,-0.0346902617212851
"Non-RM","5","0.55",-0.0760447319445632,0.0118098211086047,Inf,-0.0991915559812892,-0.0528979079078371
"RM","5","0.55",-0.0742107485317972,0.0120855823861231,Inf,-0.0978980547407902,-0.0505234423228042
