"rm_type","correct_num","correct_width","emmean","SE","df","asymp.LCL","asymp.UCL"
"Non-RM","3","0.25",-0.1168302371148,0.0655904445530234,Inf,-0.245385146168697,0.0117246719390972
"RM","3","0.25",-0.69494238701626,0.0824949949373376,Inf,-0.856629605998255,-0.533255168034264
"Non-RM","4","0.25",0.012823177196057,0.0637539615514464,Inf,-0.112132291316529,0.137778645708643
"RM","4","0.25",-0.456470647856207,0.0759935714398645,Inf,-0.605415310934913,-0.307525984777501
"Non-RM","5","0.25",-0.09800353254966,0.0682857487670417,Inf,-0.231841140790412,0.0358340756910922
"RM","5","0.25",-0.48231011975255,0.0669296794806005,Inf,-0.613489881031337,-0.351130358473764
"Non-RM","3","0.4",-0.263290923911783,0.0656359951307208,Inf,-0.391935110457442,-0.134646737366124
"RM","3","0.4",-0.788669331171562,0.087650134493671,Inf,-0.960460438019249,-0.616878224323875
"Non-RM","4","0.4",-0.0386823673155732,0.066870105651718,Inf,-0.169745366035329,0.0923806314041825
"RM","4","0.4",-0.658470353715313,0.0880425316133782,Inf,-0.831030544785263,-0.485910162645362
"Non-RM","5","0.4",-0.259131000117448,0.0718741516266839,Inf,-0.400001748725119,-0.118260251509777
"RM","5","0.4",-0.690819708359387,0.0716384308051465,Inf,-0.831228452646439,-0.550410964072335
"Non-RM","3","0.55",-0.317353435783919,0.0657785976815314,Inf,-0.44627711819327,-0.188429753374567
"RM","3","0.55",-0.866316493012691,0.0816146753984008,Inf,-1.02627831740348,-0.706354668621898
"Non-RM","4","0.55",-0.1691257442247,0.0663484552508265,Inf,-0.299166326946188,-0.0390851615032129
"RM","4","0.55",-0.717168492808705,0.0773061517146635,Inf,-0.868685765952834,-0.565651219664575
"Non-RM","5","0.55",-0.378942317182571,0.0716954779745767,Inf,-0.519462871867126,-0.238421762498016
"RM","5","0.55",-0.86264033161568,0.0685356077627998,Inf,-0.996967654489331,-0.728313008742029
