"rm_type","spacing_category","correct_num","emmean","SE","df","asymp.LCL","asymp.UCL"
"Non-RM","Smaller","3",0.0740041385279296,0.025855950519867,Inf,0.0233274067229406,0.124680870332919
"RM","Smaller","3",0.197367664984314,0.0460836024105142,Inf,0.107045463981843,0.287689865986785
"Non-RM","Middle","3",0.024506008737354,0.0260667023267915,Inf,-0.0265837890188837,0.0755958064935918
"RM","Middle","3",0.275608496566353,0.0457025400509942,Inf,0.186033164064405,0.365183829068301
"Non-RM","Larger","3",-0.397824083191044,0.0211382661621204,Inf,-0.439254323564422,-0.356393842817667
"RM","Larger","3",0.243194331542135,0.0390998926909076,Inf,0.166559950068575,0.319828713015695
"Non-RM","Smaller","4",0.0751585561818932,0.0228668261805021,Inf,0.0303404004273716,0.119976711936415
"RM","Smaller","4",0.213224898744618,0.0378907118303173,Inf,0.138960468208611,0.287489329280626
"Non-RM","Middle","4",0.0123183480393352,0.0240471573405079,Inf,-0.0348132142786284,0.0594499103572987
"RM","Middle","4",0.146809262321105,0.0426114695314203,Inf,0.0632923167111957,0.230326207931015
"Non-RM","Larger","4",-0.110017674174499,0.0263578328429998,Inf,-0.161678077257306,-0.0583572710916926
"RM","Larger","4",0.0254104693667723,0.0466994248495691,Inf,-0.066118721437118,0.116939660170663
"Non-RM","Smaller","5",0.0541448802660688,0.0251149532756927,Inf,0.00492047637230492,0.103369284159833
"RM","Smaller","5",0.15231927877986,0.0365886198958959,Inf,0.0806069015398783,0.224031656019841
"Non-RM","Middle","5",-0.0260223984043773,0.025736974335681,Inf,-0.0764659411733437,0.0244211443645891
"RM","Middle","5",0.109381351465857,0.0386565011282529,Inf,0.0336160014861491,0.185146701445564
"Non-RM","Larger","5",-0.177943215303111,0.0293931728022277,Inf,-0.235552775386839,-0.120333655219382
"RM","Larger","5",0.0184736043440991,0.040802580608929,Inf,-0.0614979841256942,0.0984451928138923
